26.03.2024 10:32 | Bot | [INFO] pizda
26.03.2024 10:32 | Bot | [ERROR] Invalid log level
26.03.2024 10:33 | Bot | [DEBUG] pizda
26.03.2024 19:35 | Bot | [INFO] Создание классов и функций..
26.03.2024 19:35 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 19:36 | Bot | [INFO] Создание классов и функций..
26.03.2024 19:36 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 19:37 | Bot | [INFO] Создание классов и функций..
26.03.2024 19:37 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 19:37 | Bot | [INFO] Запуск бота..
26.03.2024 19:38 | Bot | [INFO] Бот готов к работе
26.03.2024 19:41 | Bot | [INFO] Создание классов и функций..
26.03.2024 19:41 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 19:41 | Bot | [INFO] Запуск бота..
26.03.2024 19:41 | Bot | [INFO] Бот готов к работе
26.03.2024 19:41 | Bot | [CRITICAL] Бот отключён
26.03.2024 19:45 | Bot | [INFO] Создание классов и функций..
26.03.2024 19:45 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 19:45 | Bot | [INFO] Запуск бота..
26.03.2024 19:45 | Bot | [INFO] Бот готов к работе
26.03.2024 19:45 | Bot | [INFO] start() от @mrwoon_official
26.03.2024 19:45 | Bot | [INFO] Попытка повторого запуска: @mrwoon_official
26.03.2024 19:45 | Bot | [INFO] Обнаружен админ: @mrwoon_official
26.03.2024 19:46 | Bot | [CRITICAL] Бот отключён
26.03.2024 19:46 | Bot | [INFO] Создание классов и функций..
26.03.2024 19:46 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 19:46 | Bot | [INFO] Запуск бота..
26.03.2024 19:46 | Bot | [INFO] Бот готов к работе
26.03.2024 19:46 | Bot | [ERROR] Invalid log level
26.03.2024 19:46 | Bot | [ERROR] Invalid log level
26.03.2024 19:46 | Bot | [ERROR] Invalid log level
26.03.2024 19:47 | Bot | [CRITICAL] Бот отключён
26.03.2024 19:48 | Bot | [INFO] Создание классов и функций..
26.03.2024 19:48 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 19:48 | Bot | [INFO] Запуск бота..
26.03.2024 19:48 | Bot | [INFO] Бот готов к работе
26.03.2024 19:48 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 19:48 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
